Jackson Avenue Borough: BRONX  | 2, 5 trains
Saint Lawrence Avenue Borough: BRONX  | 6 train
Grand Avenue-Newtown Borough: QUEENS  | E, M trains
96 Street Borough: MANHATTAN  | 1, 2, 3, 4, 6, 6 express, B, C, Q trains
65 Street Borough: QUEENS  | E, M, R trains
Coney Island - Stillwell Borough: BROOKLYN  | N train
Utica Avenue Borough: BROOKLYN  | C train
Tremont Avenue Borough: BRONX  | B, D trains
5 Avenue-Bryant Park Borough: MANHATTAN  | 7 Express train
163 Street-Amsterdam Avenue Borough: MANHATTAN  | C train
3 Avenue-149 Street Borough: BRONX  | 2, 5 trains
Broad Street Borough: MANHATTAN  | J, Z trains
67 Avenue Borough: QUEENS  | E, M, R trains
23 Street Borough: MANHATTAN  | 1, 2, 4, 6, 6 express, C, E, F, M, N, Q, R, W trains
Myrtle- Willoughby Avenues Borough: BROOKLYN  | G train
Fort Hamilton Borough: BROOKLYN  | N train
Grand Army Plaza Borough: BROOKLYN  | 2, 3, 4 trains
Wakefield-241 Street Borough: BRONX  | 2 train
Carroll Street Borough: BROOKLYN  | F, G trains
Jackson Heights- Roosevelt Avenue Borough: QUEENS  | E, F, M, R trains
World Trade Center Borough: MANHATTAN  | E train
59 Street Borough: BROOKLYN  | N, R trains
52 Street Borough: QUEENS  | 7 train
Bay Parkway Borough: BROOKLYN  | D, F, N trains
Junction Boulevard Borough: QUEENS  | 7, 7 express trains
79 Street Borough: BROOKLYN  | D train
Port Authority Bus Terminal Borough: MANHATTAN  | E train
176 Street Borough: BRONX  | 4 train
86 Street Borough: BROOKLYN  | N, R trains
50 Street Borough: MANHATTAN  | 1, 2, C, E trains
Prospect Avenue Borough: BROOKLYN  | D, N, R trains
63 Dr-Rego Park Borough: QUEENS  | M train
Bushwick Avenue- Aberdeen Street Borough: BROOKLYN  | L train
East 149 Street Borough: BRONX  | 6 train
Elder Avenue Borough: BRONX  | 6 train
New Lots Avenue Borough: BROOKLYN  | 3, 4, L trains
Briarwood Borough: QUEENS  | E, F trains
Livonia Avenue Borough: BROOKLYN  | L train
68 Street-Hunter College Borough: MANHATTAN  | 4, 6, 6 express trains
Cypress Hills Borough: BROOKLYN  | J train
Borough Hall Borough: BROOKLYN  | 2, 3, 5 trains
DeKalb Avenue Borough: BROOKLYN  | B, D, L, N, R trains
Atlantic Avenue-Barclays Center Borough: BROOKLYN  | D train
Parsons Boulevard Borough: QUEENS  | F train
Woodhaven Boulevard Borough: QUEENS  | E, J, M, R, Z trains
Wall Street Borough: BROOKLYN  | 4, 5 trains
170 Street Borough: BRONX  | 4, B, D trains
West Farms Square- East Tremont Avenue Borough: BRONX  | 2 train
39 Avenue Borough: QUEENS  | N, W trains
Cypress Avenue Borough: BRONX  | 6 train
